caseid,attribute_name,created_by,size_M,date_modified
1001,DiffusionQC,ek520,147.35,Mon May 25 11:22:50 2020
1002,DiffusionQC,-,-,-
1003,DiffusionQC,-,-,-
1004,DiffusionQC,-,-,-
1005,DiffusionQC,-,-,-
1006,DiffusionQC,-,-,-
1007,DiffusionQC,-,-,-
1008,DiffusionQC,-,-,-
1009,DiffusionQC,-,-,-
1010,DiffusionQC,-,-,-
1011,DiffusionQC,-,-,-
1012,DiffusionQC,-,-,-
1015,DiffusionQC,-,-,-
1016,DiffusionQC,-,-,-
1017,DiffusionQC,-,-,-
1018,DiffusionQC,-,-,-
1019,DiffusionQC,-,-,-
1020,DiffusionQC,-,-,-
1021,DiffusionQC,ek520,75.68,Mon Mar 30 16:40:40 2020
1022,DiffusionQC,-,-,-
1023,DiffusionQC,-,-,-
1024,DiffusionQC,-,-,-
1025,DiffusionQC,ek520,73.83,Mon Mar 30 16:24:35 2020
1026,DiffusionQC,-,-,-
1027,DiffusionQC,-,-,-
1028,DiffusionQC,-,-,-
1029,DiffusionQC,-,-,-
1030,DiffusionQC,-,-,-
1031,DiffusionQC,-,-,-
1032,DiffusionQC,ek520,72.12,Tue Mar 31 11:33:00 2020
1033,DiffusionQC,-,-,-
1034,DiffusionQC,-,-,-
1035,DiffusionQC,-,-,-
1036,DiffusionQC,-,-,-
1037,DiffusionQC,-,-,-
1038,DiffusionQC,-,-,-
1039,DiffusionQC,-,-,-
1040,DiffusionQC,-,-,-
1041,DiffusionQC,-,-,-
1042,DiffusionQC,-,-,-
1043,DiffusionQC,-,-,-
1044,DiffusionQC,-,-,-
1045,DiffusionQC,-,-,-
1046,DiffusionQC,-,-,-
1047,DiffusionQC,-,-,-
1048,DiffusionQC,-,-,-
1050,DiffusionQC,-,-,-
1051,DiffusionQC,-,-,-
1052,DiffusionQC,-,-,-
1053,DiffusionQC,-,-,-
1054,DiffusionQC,-,-,-
1055,DiffusionQC,-,-,-
1056,DiffusionQC,-,-,-
1057,DiffusionQC,-,-,-
1058,DiffusionQC,-,-,-
1059,DiffusionQC,-,-,-
1060,DiffusionQC,-,-,-
1061,DiffusionQC,-,-,-
1062,DiffusionQC,-,-,-
1063,DiffusionQC,-,-,-
1064,DiffusionQC,-,-,-
