caseid,attribute_name,created_by,size_M,date_modified
1001,sub-1001_ses-01_desc-XcEd_dwi.nii.gz,tb571,290.48,Fri May 15 06:24:43 2020
1002,sub-1002_ses-01_desc-XcEd_dwi.nii.gz,tb571,287.71,Fri May 15 06:27:33 2020
1003,sub-1003_ses-01_desc-XcEd_dwi.nii.gz,tb571,290.1,Fri May 15 06:24:44 2020
1004,sub-1004_ses-01_desc-XcEd_dwi.nii.gz,tb571,292.05,Fri May 15 06:24:38 2020
1005,sub-1005_ses-01_desc-XcEd_dwi.nii.gz,tb571,291.79,Fri May 15 06:24:21 2020
1006,sub-1006_ses-01_desc-XcEd_dwi.nii.gz,tb571,285.67,Fri May 15 06:22:03 2020
1007,sub-1007_ses-01_desc-XcEd_dwi.nii.gz,tb571,291.39,Fri May 15 06:21:34 2020
1008,sub-1008_ses-01_desc-XcEd_dwi.nii.gz,tb571,291.35,Fri May 15 06:28:20 2020
1009,sub-1009_ses-01_desc-XcEd_dwi.nii.gz,tb571,293.84,Fri May 15 06:23:07 2020
1010,sub-1010_ses-01_desc-XcEd_dwi.nii.gz,tb571,292.27,Fri May 15 06:21:52 2020
1011,sub-1011_ses-01_desc-XcEd_dwi.nii.gz,tb571,291.77,Fri May 15 06:13:38 2020
1012,sub-1012_ses-01_desc-XcEd_dwi.nii.gz,tb571,292.77,Fri May 15 06:15:36 2020
1015,sub-1015_ses-01_desc-XcEd_dwi.nii.gz,tb571,284.37,Fri May 15 06:16:57 2020
1016,sub-1016_ses-01_desc-XcEd_dwi.nii.gz,tb571,292.23,Fri May 15 06:13:11 2020
1017,sub-1017_ses-01_desc-XcEd_dwi.nii.gz,tb571,292.39,Thu May 14 23:31:34 2020
1018,sub-1018_ses-01_desc-XcEd_dwi.nii.gz,tb571,290.54,Fri May 15 06:20:35 2020
1019,sub-1019_ses-01_desc-XcEd_dwi.nii.gz,tb571,291.79,Fri May 15 06:24:14 2020
1020,sub-1020_ses-01_desc-XcEd_dwi.nii.gz,tb571,292.99,Fri May 15 06:20:53 2020
1021,sub-1021_ses-01_desc-XcEd_dwi.nii.gz,tb571,286.83,Fri May 15 06:21:11 2020
1022,sub-1022_ses-01_desc-XcEd_dwi.nii.gz,tb571,288.69,Fri May 15 06:19:46 2020
1023,sub-1023_ses-01_desc-XcEd_dwi.nii.gz,tb571,290.01,Fri May 15 06:21:05 2020
1024,sub-1024_ses-01_desc-XcEd_dwi.nii.gz,-,-,-
1025,sub-1025_ses-01_desc-XcEd_dwi.nii.gz,tb571,292.34,Fri May 15 06:20:45 2020
1026,sub-1026_ses-01_desc-XcEd_dwi.nii.gz,tb571,291.06,Fri May 15 06:19:49 2020
1027,sub-1027_ses-01_desc-XcEd_dwi.nii.gz,tb571,290.37,Fri May 15 06:21:20 2020
1028,sub-1028_ses-01_desc-XcEd_dwi.nii.gz,tb571,291.07,Fri May 15 06:18:36 2020
1029,sub-1029_ses-01_desc-XcEd_dwi.nii.gz,tb571,289.54,Fri May 15 06:22:55 2020
1030,sub-1030_ses-01_desc-XcEd_dwi.nii.gz,tb571,291.45,Sat May 16 13:23:07 2020
1031,sub-1031_ses-01_desc-XcEd_dwi.nii.gz,tb571,290.71,Fri May 15 06:18:07 2020
1032,sub-1032_ses-01_desc-XcEd_dwi.nii.gz,tb571,289.85,Fri May 15 06:24:30 2020
1033,sub-1033_ses-01_desc-XcEd_dwi.nii.gz,tb571,284.77,Sat May 16 13:32:20 2020
1034,sub-1034_ses-01_desc-XcEd_dwi.nii.gz,tb571,286.85,Fri May 15 06:23:22 2020
1035,sub-1035_ses-01_desc-XcEd_dwi.nii.gz,tb571,293.27,Fri May 15 06:23:52 2020
