caseid,attribute_name,created_by,size_M,date_modified
1001,freesurfer,ek520,348.23,Tue Apr 14 11:53:41 2020
1002,freesurfer,tb571,386.58,Wed Apr  8 15:06:53 2020
1003,freesurfer,tb571,329.82,Fri Mar 20 05:12:01 2020
1004,freesurfer,tb571,348.57,Fri Mar 20 10:55:33 2020
1005,freesurfer,tb571,325.81,Fri Mar 20 19:50:51 2020
1006,freesurfer,tb571,312.91,Fri Mar 20 19:20:04 2020
1007,freesurfer,tb571,349.9,Fri Mar 20 20:46:31 2020
1008,freesurfer,tb571,316.99,Fri Mar 20 20:25:27 2020
1009,freesurfer,tb571,341.35,Fri Mar 20 21:14:02 2020
1010,freesurfer,tb571,367.38,Fri Mar 20 20:54:34 2020
1011,freesurfer,tb571,355.46,Sat Mar 21 01:02:17 2020
1012,freesurfer,tb571,352.21,Sat Mar 21 00:25:29 2020
1015,freesurfer,tb571,340.38,Sat Mar 21 23:35:58 2020
1016,freesurfer,tb571,339.81,Sat Mar 21 01:50:57 2020
1017,freesurfer,tb571,349.71,Sat Mar 21 02:44:47 2020
1018,freesurfer,tb571,341.25,Sat Mar 21 02:24:30 2020
1019,freesurfer,tb571,277.98,Sat Mar 21 04:17:39 2020
1020,freesurfer,tb571,335.7,Sat Mar 21 08:46:55 2020
1021,freesurfer,ek520,369.43,Mon Jun  8 18:19:20 2020
1022,freesurfer,-,-,-
1023,freesurfer,tb571,340.11,Sat Mar 21 06:51:14 2020
1024,freesurfer,tb571,351.85,Sat Mar 21 08:02:39 2020
1025,freesurfer,ek520,400.76,Sat Feb 29 00:42:36 2020
1026,freesurfer,tb571,354.3,Sat Mar 21 08:07:15 2020
1027,freesurfer,tb571,337.17,Fri Aug 14 11:24:04 2020
1028,freesurfer,ek520,318.17,Fri Aug 14 11:24:04 2020
1029,freesurfer,tb571,343.26,Fri Aug 14 11:24:04 2020
1030,freesurfer,tb571,352.23,Fri Aug 14 11:24:04 2020
1031,freesurfer,tb571,324.62,Fri Aug 14 11:24:04 2020
1032,freesurfer,ek520,362.67,Fri Aug 14 11:24:04 2020
1033,freesurfer,ek520,256.7,Fri Aug 14 11:24:04 2020
1034,freesurfer,tb571,333.35,Fri Aug 14 11:24:04 2020
1035,freesurfer,tb571,328.91,Fri Aug 14 11:24:04 2020
1036,freesurfer,tb571,351.76,Fri Aug 14 11:24:04 2020
1037,freesurfer,tb571,316.83,Fri Aug 14 11:24:04 2020
1038,freesurfer,tb571,329.49,Fri Aug 14 11:24:04 2020
1039,freesurfer,tb571,350.13,Fri Aug 14 11:24:04 2020
1040,freesurfer,tb571,331.11,Fri Aug 14 11:24:04 2020
1041,freesurfer,tb571,329.61,Fri Aug 14 11:24:04 2020
1042,freesurfer,tb571,359.73,Fri Aug 14 11:24:04 2020
1043,freesurfer,ek520,334.89,Fri Aug 14 11:24:04 2020
1044,freesurfer,tb571,356.34,Fri Aug 14 11:24:04 2020
1045,freesurfer,tb571,349.03,Fri Aug 14 11:24:04 2020
1046,freesurfer,tb571,331.73,Fri Aug 14 11:24:04 2020
1047,freesurfer,tb571,301.17,Fri Aug 14 11:24:04 2020
1048,freesurfer,tb571,280.49,Fri Aug 14 11:24:04 2020
1050,freesurfer,tb571,346.16,Fri Aug 14 11:24:04 2020
1051,freesurfer,tb571,320.67,Fri Aug 14 11:24:04 2020
1052,freesurfer,tb571,339.51,Fri Aug 14 11:24:04 2020
1053,freesurfer,tb571,351.77,Fri Aug 14 11:24:04 2020
1054,freesurfer,ek520,294.16,Fri Aug 14 11:24:04 2020
1055,freesurfer,tb571,338.7,Fri Aug 14 11:24:04 2020
1056,freesurfer,ek520,281.0,Fri Aug 14 11:24:04 2020
1057,freesurfer,tb571,358.86,Fri Aug 14 11:24:04 2020
1058,freesurfer,tb571,336.14,Fri Aug 14 11:24:04 2020
1059,freesurfer,tb571,366.51,Fri Aug 14 11:24:04 2020
1060,freesurfer,tb571,319.47,Fri Aug 14 11:24:04 2020
1061,freesurfer,tb571,331.07,Fri Aug 14 11:24:04 2020
1062,freesurfer,tb571,350.16,Fri Aug 14 11:24:04 2020
1063,freesurfer,tb571,327.98,Fri Aug 14 11:24:04 2020
1064,freesurfer,tb571,338.62,Fri Aug 14 11:24:04 2020
1065,freesurfer,tb571,341.22,Fri Aug 14 11:24:04 2020
