caseid,attribute_name,created_by,size_M,date_modified
1001,fs7.1.0,tb571,322.08,Tue Aug 25 09:31:13 2020
1002,fs7.1.0,ek520,367.68,Tue May 26 19:41:08 2020
1003,fs7.1.0,ek520,297.52,Tue Jun  9 01:07:16 2020
1004,fs7.1.0,ek520,322.95,Tue May 26 19:52:20 2020
1005,fs7.1.0,ek520,288.41,Tue May 26 19:02:19 2020
1006,fs7.1.0,ek520,276.09,Tue May 26 19:09:08 2020
1007,fs7.1.0,ek520,322.1,Tue May 26 19:39:06 2020
1008,fs7.1.0,ek520,275.53,Tue May 26 19:14:47 2020
1009,fs7.1.0,ek520,305.39,Tue May 26 18:45:34 2020
1010,fs7.1.0,ek520,338.87,Tue May 26 19:20:53 2020
1011,fs7.1.0,ek520,332.82,Tue May 26 19:40:41 2020
1012,fs7.1.0,ek520,331.03,Tue May 26 19:16:21 2020
1015,fs7.1.0,ek520,310.77,Tue May 26 19:20:56 2020
1016,fs7.1.0,ek520,307.17,Tue May 26 19:22:10 2020
1017,fs7.1.0,ek520,311.31,Tue May 26 19:17:47 2020
1018,fs7.1.0,ek520,314.31,Tue May 26 19:36:28 2020
1019,fs7.1.0,ek520,229.9,Tue May 26 18:39:24 2020
1020,fs7.1.0,ek520,294.76,Tue May 26 19:15:14 2020
1021,fs7.1.0,tb571,302.59,Wed May 20 14:56:36 2020
1022,fs7.1.0,-,-,-
1023,fs7.1.0,ek520,303.99,Tue May 26 18:43:07 2020
1024,fs7.1.0,ek520,319.67,Tue May 26 19:17:42 2020
1025,fs7.1.0,tb571,294.02,Wed May 20 14:59:37 2020
1026,fs7.1.0,ek520,323.95,Tue May 26 19:48:37 2020
1027,fs7.1.0,ek520,309.68,Tue May 26 19:49:27 2020
1028,fs7.1.0,ek520,334.97,Tue May 26 19:26:30 2020
1029,fs7.1.0,ek520,314.9,Tue May 26 19:19:49 2020
1030,fs7.1.0,ek520,327.41,Tue May 26 19:40:44 2020
1031,fs7.1.0,ek520,290.23,Tue May 26 19:07:05 2020
1032,fs7.1.0,tb571,337.22,Wed May 20 15:34:47 2020
1033,fs7.1.0,ek520,279.19,Tue May 26 19:18:30 2020
1034,fs7.1.0,ek520,301.86,Tue May 26 19:49:27 2020
1035,fs7.1.0,ek520,304.06,Tue May 26 19:23:35 2020
1036,fs7.1.0,ek520,324.6,Tue May 26 19:31:32 2020
1037,fs7.1.0,ek520,271.32,Tue May 26 19:24:01 2020
1038,fs7.1.0,ek520,296.76,Tue May 26 18:59:40 2020
1039,fs7.1.0,ek520,311.01,Tue May 26 19:08:53 2020
1040,fs7.1.0,ek520,289.88,Tue May 26 19:30:09 2020
1041,fs7.1.0,ek520,288.3,Tue May 26 19:50:34 2020
1042,fs7.1.0,ek520,336.5,Tue May 26 19:51:10 2020
1043,fs7.1.0,ek520,293.99,Tue May 26 18:56:34 2020
1044,fs7.1.0,ek520,333.54,Tue May 26 19:41:19 2020
1045,fs7.1.0,ek520,319.37,Tue May 26 19:48:47 2020
1046,fs7.1.0,ek520,292.45,Tue May 26 19:05:21 2020
1047,fs7.1.0,ek520,261.69,Tue May 26 19:04:01 2020
1048,fs7.1.0,ek520,328.41,Mon Jun  8 17:30:10 2020
1050,fs7.1.0,ek520,312.23,Tue May 26 19:05:04 2020
1051,fs7.1.0,ek520,285.28,Tue May 26 18:42:58 2020
1052,fs7.1.0,ek520,308.55,Tue May 26 19:22:54 2020
1053,fs7.1.0,ek520,314.36,Tue May 26 19:23:53 2020
1054,fs7.1.0,ek520,314.21,Tue May 26 19:03:15 2020
1055,fs7.1.0,ek520,311.0,Tue May 26 19:31:47 2020
1056,fs7.1.0,ek520,308.88,Tue May 26 20:45:50 2020
1057,fs7.1.0,ek520,335.85,Tue May 26 19:22:29 2020
1058,fs7.1.0,ek520,302.4,Tue May 26 19:14:42 2020
1059,fs7.1.0,ek520,338.07,Tue May 26 19:12:09 2020
1060,fs7.1.0,ek520,286.35,Tue May 26 19:00:59 2020
1061,fs7.1.0,ek520,304.23,Tue May 26 18:59:45 2020
1062,fs7.1.0,ek520,310.54,Tue May 26 19:42:24 2020
1063,fs7.1.0,ek520,282.96,Tue May 26 19:46:21 2020
1064,fs7.1.0,ek520,299.92,Tue May 26 19:36:46 2020
1065,fs7.1.0,ek520,308.06,Tue May 26 19:15:14 2020
1066,fs7.1.0,ek520,289.72,Tue May 26 19:17:43 2020
1067,fs7.1.0,ek520,336.94,Tue May 26 19:33:39 2020
1068,fs7.1.0,ek520,274.76,Tue May 26 18:37:12 2020
1069,fs7.1.0,ek520,311.44,Tue May 26 19:00:35 2020
1070,fs7.1.0,ek520,370.33,Tue May 26 21:04:38 2020
1071,fs7.1.0,ek520,272.82,Tue May 26 20:52:38 2020
1072,fs7.1.0,-,-,-
1073,fs7.1.0,ek520,271.13,Tue May 26 18:44:05 2020
3001,fs7.1.0,tb571,341.47,Fri May 22 10:25:26 2020
3002,fs7.1.0,ek520,314.84,Tue May 26 19:55:47 2020
3003,fs7.1.0,ek520,369.16,Tue May 26 20:40:41 2020
3005,fs7.1.0,ek520,268.07,Tue May 26 19:39:31 2020
