caseid,attribute_name,created_by,size_M,date_modified
1001,sub-1001_ses-01_desc-Xc_dwi.nii.gz,bv991,74.66,Thu Feb 13 10:39:24 2020
1002,sub-1002_ses-01_desc-Xc_dwi.nii.gz,ek520,77.14,Tue Feb 25 18:30:14 2020
1003,sub-1003_ses-01_desc-Xc_dwi.nii.gz,ek520,75.8,Tue Feb 25 18:33:59 2020
1004,sub-1004_ses-01_desc-Xc_dwi.nii.gz,ek520,90.12,Wed Feb 12 11:38:48 2020
1005,sub-1005_ses-01_desc-Xc_dwi.nii.gz,ek520,84.16,Wed Feb 12 10:06:29 2020
1006,sub-1006_ses-01_desc-Xc_dwi.nii.gz,ek520,74.14,Tue Feb 25 18:39:16 2020
1007,sub-1007_ses-01_desc-Xc_dwi.nii.gz,ek520,74.85,Tue Feb 25 18:29:52 2020
1008,sub-1008_ses-01_desc-Xc_dwi.nii.gz,ek520,74.13,Tue Feb 25 18:42:41 2020
1009,sub-1009_ses-01_desc-Xc_dwi.nii.gz,ek520,75.27,Tue Feb 25 18:57:14 2020
1010,sub-1010_ses-01_desc-Xc_dwi.nii.gz,ek520,77.54,Tue Feb 25 19:08:09 2020
1011,sub-1011_ses-01_desc-Xc_dwi.nii.gz,ek520,76.99,Tue Feb 25 19:25:08 2020
1012,sub-1012_ses-01_desc-Xc_dwi.nii.gz,ek520,75.49,Tue Feb 25 19:38:11 2020
1015,sub-1015_ses-01_desc-Xc_dwi.nii.gz,ek520,76.05,Tue Feb 25 19:49:49 2020
1016,sub-1016_ses-01_desc-Xc_dwi.nii.gz,ek520,76.0,Tue Feb 25 20:01:50 2020
1017,sub-1017_ses-01_desc-Xc_dwi.nii.gz,ek520,75.53,Tue Feb 25 20:25:24 2020
1018,sub-1018_ses-01_desc-Xc_dwi.nii.gz,ek520,75.8,Tue Feb 25 20:45:11 2020
1019,sub-1019_ses-01_desc-Xc_dwi.nii.gz,ek520,74.25,Tue Feb 25 21:13:48 2020
1020,sub-1020_ses-01_desc-Xc_dwi.nii.gz,ek520,75.53,Tue Feb 25 21:55:01 2020
1021,sub-1021_ses-01_desc-Xc_dwi.nii.gz,bv991,75.63,Wed Feb 12 12:37:17 2020
1022,sub-1022_ses-01_desc-Xc_dwi.nii.gz,ek520,74.81,Tue Feb 25 22:53:10 2020
1023,sub-1023_ses-01_desc-Xc_dwi.nii.gz,ek520,76.06,Tue Feb 25 23:55:05 2020
1024,sub-1024_ses-01_desc-Xc_dwi.nii.gz,ek520,77.98,Wed Feb 26 01:10:08 2020
1025,sub-1025_ses-01_desc-Xc_dwi.nii.gz,ek520,75.7,Wed Feb 12 12:19:10 2020
1026,sub-1026_ses-01_desc-Xc_dwi.nii.gz,ek520,77.1,Wed Feb 26 01:54:36 2020
1027,sub-1027_ses-01_desc-Xc_dwi.nii.gz,ek520,75.22,Wed Feb 26 02:40:13 2020
1028,sub-1028_ses-01_desc-Xc_dwi.nii.gz,ek520,76.78,Wed Feb 26 04:01:15 2020
1029,sub-1029_ses-01_desc-Xc_dwi.nii.gz,ek520,76.29,Wed Feb 26 04:26:21 2020
1030,sub-1030_ses-01_desc-Xc_dwi.nii.gz,ek520,75.81,Wed Feb 26 04:56:04 2020
1031,sub-1031_ses-01_desc-Xc_dwi.nii.gz,ek520,74.99,Wed Feb 26 05:21:48 2020
1032,sub-1032_ses-01_desc-Xc_dwi.nii.gz,bv991,76.18,Wed Feb 12 13:09:37 2020
1033,sub-1033_ses-01_desc-Xc_dwi.nii.gz,ek520,75.82,Wed Feb 26 05:49:02 2020
1034,sub-1034_ses-01_desc-Xc_dwi.nii.gz,ek520,84.47,Wed Feb 26 06:15:38 2020
1035,sub-1035_ses-01_desc-Xc_dwi.nii.gz,ek520,85.2,Wed Feb 26 06:44:30 2020
1036,sub-1036_ses-01_desc-Xc_dwi.nii.gz,ek520,86.91,Wed Feb 26 07:13:41 2020
1037,sub-1037_ses-01_desc-Xc_dwi.nii.gz,ek520,85.13,Wed Feb 26 07:31:28 2020
1038,sub-1038_ses-01_desc-Xc_dwi.nii.gz,ek520,84.84,Wed Feb 26 07:50:24 2020
1039,sub-1039_ses-01_desc-Xc_dwi.nii.gz,ek520,87.03,Wed Feb 26 08:06:55 2020
1040,sub-1040_ses-01_desc-Xc_dwi.nii.gz,ek520,83.0,Wed Feb 26 08:20:45 2020
1041,sub-1041_ses-01_desc-Xc_dwi.nii.gz,ek520,84.02,Wed Feb 26 08:41:42 2020
1042,sub-1042_ses-01_desc-Xc_dwi.nii.gz,ek520,87.63,Wed Feb 26 09:01:23 2020
1043,sub-1043_ses-01_desc-Xc_dwi.nii.gz,ek520,85.26,Mon Mar 23 17:08:10 2020
1044,sub-1044_ses-01_desc-Xc_dwi.nii.gz,ek520,87.36,Wed May 13 15:03:25 2020
1045,sub-1045_ses-01_desc-Xc_dwi.nii.gz,ek520,85.84,Wed Feb 26 09:20:34 2020
1046,sub-1046_ses-01_desc-Xc_dwi.nii.gz,ek520,85.97,Wed Feb 26 09:45:55 2020
1047,sub-1047_ses-01_desc-Xc_dwi.nii.gz,ek520,82.68,Wed Feb 26 10:18:29 2020
1048,sub-1048_ses-01_desc-Xc_dwi.nii.gz,ek520,74.25,Wed Feb 26 11:03:17 2020
1050,sub-1050_ses-01_desc-Xc_dwi.nii.gz,ek520,84.56,Wed Feb 26 11:40:23 2020
1051,sub-1051_ses-01_desc-Xc_dwi.nii.gz,ek520,82.34,Wed Feb 26 12:01:06 2020
1052,sub-1052_ses-01_desc-Xc_dwi.nii.gz,ek520,85.38,Wed Feb 26 12:20:35 2020
1053,sub-1053_ses-01_desc-Xc_dwi.nii.gz,ek520,87.46,Wed Feb 26 12:40:55 2020
1054,sub-1054_ses-01_desc-Xc_dwi.nii.gz,ek520,84.18,Wed Feb 26 12:58:05 2020
1055,sub-1055_ses-01_desc-Xc_dwi.nii.gz,ek520,87.53,Wed Feb 26 13:18:21 2020
1056,sub-1056_ses-01_desc-Xc_dwi.nii.gz,ek520,84.72,Wed Feb 26 13:24:59 2020
1057,sub-1057_ses-01_desc-Xc_dwi.nii.gz,ek520,87.2,Wed Feb 26 13:31:16 2020
1058,sub-1058_ses-01_desc-Xc_dwi.nii.gz,ek520,85.96,Wed Feb 26 13:38:55 2020
1059,sub-1059_ses-01_desc-Xc_dwi.nii.gz,ek520,86.83,Wed Feb 26 13:45:18 2020
1060,sub-1060_ses-01_desc-Xc_dwi.nii.gz,ek520,85.9,Wed Feb 26 13:51:11 2020
1061,sub-1061_ses-01_desc-Xc_dwi.nii.gz,ek520,84.98,Wed Feb 26 13:56:42 2020
1062,sub-1062_ses-01_desc-Xc_dwi.nii.gz,ek520,86.6,Wed Feb 26 14:04:14 2020
1063,sub-1063_ses-01_desc-Xc_dwi.nii.gz,ek520,84.98,Wed Feb 26 14:13:40 2020
1064,sub-1064_ses-01_desc-Xc_dwi.nii.gz,ek520,86.59,Wed Feb 26 14:20:50 2020
1065,sub-1065_ses-01_desc-Xc_dwi.nii.gz,ek520,69.07,Wed Feb 26 14:35:32 2020
1066,sub-1066_ses-01_desc-Xc_dwi.nii.gz,ek520,85.0,Wed Feb 26 14:47:07 2020
1067,sub-1067_ses-01_desc-Xc_dwi.nii.gz,ek520,85.79,Wed Feb 26 14:54:24 2020
1068,sub-1068_ses-01_desc-Xc_dwi.nii.gz,ek520,85.69,Wed Feb 26 15:01:56 2020
1069,sub-1069_ses-01_desc-Xc_dwi.nii.gz,ek520,87.14,Wed Feb 26 15:09:29 2020
1070,sub-1070_ses-01_desc-Xc_dwi.nii.gz,ek520,90.66,Wed Feb 26 15:22:16 2020
1071,sub-1071_ses-01_desc-Xc_dwi.nii.gz,ek520,83.87,Wed Feb 26 15:36:44 2020
1072,sub-1072_ses-01_desc-Xc_dwi.nii.gz,ek520,88.18,Wed Feb 26 15:50:56 2020
1073,sub-1073_ses-01_desc-Xc_dwi.nii.gz,ek520,81.73,Wed Feb 26 15:56:01 2020
3001,sub-3001_ses-01_desc-Xc_dwi.nii.gz,ek520,87.64,Thu Feb 20 17:27:39 2020
3002,sub-3002_ses-01_desc-Xc_dwi.nii.gz,ek520,84.02,Wed Feb 26 16:12:15 2020
3003,sub-3003_ses-01_desc-Xc_dwi.nii.gz,ek520,86.39,Wed Feb 26 16:29:25 2020
3005,sub-3005_ses-01_desc-Xc_dwi.nii.gz,ek520,82.96,Wed Feb 26 16:58:08 2020
3006,sub-3006_ses-01_desc-Xc_dwi.nii.gz,ek520,82.61,Thu Feb 20 17:50:22 2020
3008,sub-3008_ses-01_desc-Xc_dwi.nii.gz,clk47,89.92,Wed Feb 26 10:57:24 2020
3009,sub-3009_ses-01_desc-Xc_dwi.nii.gz,ek520,87.88,Wed Feb 26 17:20:56 2020
3010,sub-3010_ses-01_desc-Xc_dwi.nii.gz,ek520,83.16,Wed Feb 26 17:44:01 2020
3011,sub-3011_ses-01_desc-Xc_dwi.nii.gz,ek520,85.68,Wed Feb 26 18:06:27 2020
3012,sub-3012_ses-01_desc-Xc_dwi.nii.gz,ek520,83.96,Wed Feb 26 18:27:30 2020
3013,sub-3013_ses-01_desc-Xc_dwi.nii.gz,ek520,85.49,Wed Feb 26 18:45:11 2020
3014,sub-3014_ses-01_desc-Xc_dwi.nii.gz,ek520,86.61,Wed Feb 26 19:04:27 2020
3015,sub-3015_ses-01_desc-Xc_dwi.nii.gz,ek520,84.57,Wed Feb 26 19:17:21 2020
3016,sub-3016_ses-01_desc-Xc_dwi.nii.gz,ek520,87.14,Wed Feb 26 19:37:14 2020
3017,sub-3017_ses-01_desc-Xc_dwi.nii.gz,-,-,-
3018,sub-3018_ses-01_desc-Xc_dwi.nii.gz,-,-,-
3019,sub-3019_ses-01_desc-Xc_dwi.nii.gz,-,-,-
3020,sub-3020_ses-01_desc-Xc_dwi.nii.gz,-,-,-
3021,sub-3021_ses-01_desc-Xc_dwi.nii.gz,ek520,84.54,Wed Feb 26 21:41:30 2020
3023,sub-3023_ses-01_desc-Xc_dwi.nii.gz,-,-,-
3024,sub-3024_ses-01_desc-Xc_dwi.nii.gz,ek520,86.55,Wed Feb 26 22:07:20 2020
3025,sub-3025_ses-01_desc-Xc_dwi.nii.gz,ek520,86.55,Wed Feb 26 22:29:06 2020
3026,sub-3026_ses-01_desc-Xc_dwi.nii.gz,ek520,86.66,Thu Feb 20 18:14:39 2020
3027,sub-3027_ses-01_desc-Xc_dwi.nii.gz,ek520,87.37,Wed Feb 26 22:48:35 2020
3028,sub-3028_ses-01_desc-Xc_dwi.nii.gz,ek520,84.45,Wed Feb 26 23:04:39 2020
3029,sub-3029_ses-01_desc-Xc_dwi.nii.gz,ek520,85.92,Wed Feb 26 23:23:49 2020
3030,sub-3030_ses-01_desc-Xc_dwi.nii.gz,ek520,86.91,Wed Feb 26 23:36:02 2020
3031,sub-3031_ses-01_desc-Xc_dwi.nii.gz,ek520,85.51,Wed Feb 26 23:51:07 2020
3032,sub-3032_ses-01_desc-Xc_dwi.nii.gz,ek520,86.16,Thu Feb 27 00:04:45 2020
