caseid,attribute_name,created_by,size_M,date_modified
1001,sub-1001_ses-01_dwi.nii.gz,tb571,68.86,Thu Mar 19 14:38:47 2020
1002,sub-1002_ses-01_dwi.nii.gz,tb571,71.57,Thu Mar 19 14:40:14 2020
1003,sub-1003_ses-01_dwi.nii.gz,tb571,70.15,Thu Mar 19 14:40:20 2020
1004,sub-1004_ses-01_dwi.nii.gz,tb571,85.07,Thu Mar 19 14:38:16 2020
1005,sub-1005_ses-01_dwi.nii.gz,tb571,79.05,Thu Mar 19 14:38:05 2020
1006,sub-1006_ses-01_dwi.nii.gz,tb571,68.37,Thu Mar 19 14:40:23 2020
1007,sub-1007_ses-01_dwi.nii.gz,tb571,69.1,Thu Mar 19 14:40:29 2020
1008,sub-1008_ses-01_dwi.nii.gz,tb571,68.42,Thu Mar 19 14:40:33 2020
1009,sub-1009_ses-01_dwi.nii.gz,tb571,69.57,Thu Mar 19 14:40:37 2020
1010,sub-1010_ses-01_dwi.nii.gz,tb571,72.01,Thu Mar 19 14:40:47 2020
1011,sub-1011_ses-01_dwi.nii.gz,tb571,71.34,Thu Mar 19 14:40:51 2020
1012,sub-1012_ses-01_dwi.nii.gz,tb571,69.81,Thu Mar 19 14:40:55 2020
1015,sub-1015_ses-01_dwi.nii.gz,tb571,70.53,Thu Mar 19 14:40:58 2020
1016,sub-1016_ses-01_dwi.nii.gz,tb571,70.44,Thu Mar 19 14:41:03 2020
1017,sub-1017_ses-01_dwi.nii.gz,tb571,69.88,Thu Mar 19 14:41:11 2020
1018,sub-1018_ses-01_dwi.nii.gz,tb571,70.25,Thu Mar 19 14:41:15 2020
1019,sub-1019_ses-01_dwi.nii.gz,tb571,68.62,Thu Mar 19 14:41:21 2020
1020,sub-1020_ses-01_dwi.nii.gz,tb571,69.9,Thu Mar 19 14:41:25 2020
1021,sub-1021_ses-01_dwi.nii.gz,tb571,69.97,Thu Mar 19 14:38:29 2020
1022,sub-1022_ses-01_dwi.nii.gz,tb571,69.02,Thu Mar 19 14:41:30 2020
1023,sub-1023_ses-01_dwi.nii.gz,tb571,70.47,Thu Mar 19 14:41:35 2020
1024,sub-1024_ses-01_dwi.nii.gz,tb571,72.58,Thu Mar 19 14:41:37 2020
1025,sub-1025_ses-01_dwi.nii.gz,tb571,70.1,Thu Mar 19 14:38:26 2020
1026,sub-1026_ses-01_dwi.nii.gz,tb571,71.6,Thu Mar 19 14:41:40 2020
1027,sub-1027_ses-01_dwi.nii.gz,tb571,69.5,Thu Mar 19 14:41:44 2020
1028,sub-1028_ses-01_dwi.nii.gz,tb571,71.27,Thu Mar 19 14:41:47 2020
1029,sub-1029_ses-01_dwi.nii.gz,tb571,70.79,Thu Mar 19 14:41:51 2020
1030,sub-1030_ses-01_dwi.nii.gz,tb571,70.17,Thu Mar 19 14:41:54 2020
1031,sub-1031_ses-01_dwi.nii.gz,tb571,69.28,Thu Mar 19 14:41:57 2020
1032,sub-1032_ses-01_dwi.nii.gz,tb571,70.6,Thu Mar 19 14:38:39 2020
1033,sub-1033_ses-01_dwi.nii.gz,tb571,70.25,Thu Mar 19 14:42:01 2020
1034,sub-1034_ses-01_dwi.nii.gz,tb571,79.37,Thu Mar 19 14:42:04 2020
1035,sub-1035_ses-01_dwi.nii.gz,tb571,80.14,Thu Mar 19 14:42:07 2020
1036,sub-1036_ses-01_dwi.nii.gz,tb571,81.77,Thu Mar 19 14:42:11 2020
1037,sub-1037_ses-01_dwi.nii.gz,tb571,80.07,Thu Mar 19 14:42:14 2020
1038,sub-1038_ses-01_dwi.nii.gz,tb571,79.77,Thu Mar 19 14:42:18 2020
1039,sub-1039_ses-01_dwi.nii.gz,tb571,81.83,Thu Mar 19 14:42:23 2020
1040,sub-1040_ses-01_dwi.nii.gz,tb571,77.83,Thu Mar 19 14:42:26 2020
1041,sub-1041_ses-01_dwi.nii.gz,tb571,78.93,Thu Mar 19 14:42:32 2020
1042,sub-1042_ses-01_dwi.nii.gz,tb571,82.51,Thu Mar 19 14:42:35 2020
1043,sub-1043_ses-01_dwi.nii.gz,ek520,80.12,Mon Mar 23 17:07:31 2020
1044,sub-1044_ses-01_dwi.nii.gz,tb571,82.25,Thu Mar 19 14:42:39 2020
1045,sub-1045_ses-01_dwi.nii.gz,tb571,80.7,Thu Mar 19 14:42:46 2020
1046,sub-1046_ses-01_dwi.nii.gz,tb571,80.89,Thu Mar 19 14:42:57 2020
1047,sub-1047_ses-01_dwi.nii.gz,tb571,77.5,Thu Mar 19 14:43:07 2020
1048,sub-1048_ses-01_dwi.nii.gz,tb571,68.62,Thu Mar 19 14:43:17 2020
1050,sub-1050_ses-01_dwi.nii.gz,tb571,79.37,Thu Mar 19 14:43:29 2020
1051,sub-1051_ses-01_dwi.nii.gz,tb571,77.22,Thu Mar 19 14:43:36 2020
1052,sub-1052_ses-01_dwi.nii.gz,tb571,80.3,Thu Mar 19 14:43:40 2020
1053,sub-1053_ses-01_dwi.nii.gz,tb571,82.41,Thu Mar 19 14:43:43 2020
1054,sub-1054_ses-01_dwi.nii.gz,tb571,78.94,Thu Mar 19 14:43:47 2020
1055,sub-1055_ses-01_dwi.nii.gz,tb571,82.4,Thu Mar 19 14:43:52 2020
1056,sub-1056_ses-01_dwi.nii.gz,tb571,79.59,Thu Mar 19 14:43:56 2020
1057,sub-1057_ses-01_dwi.nii.gz,tb571,81.98,Thu Mar 19 14:44:00 2020
1058,sub-1058_ses-01_dwi.nii.gz,tb571,80.85,Thu Mar 19 14:44:03 2020
1059,sub-1059_ses-01_dwi.nii.gz,tb571,81.64,Thu Mar 19 14:44:10 2020
1060,sub-1060_ses-01_dwi.nii.gz,tb571,80.79,Thu Mar 19 14:44:18 2020
1061,sub-1061_ses-01_dwi.nii.gz,tb571,79.82,Thu Mar 19 14:44:22 2020
1062,sub-1062_ses-01_dwi.nii.gz,tb571,81.49,Thu Mar 19 14:44:27 2020
1063,sub-1063_ses-01_dwi.nii.gz,tb571,79.95,Thu Mar 19 14:44:31 2020
1064,sub-1064_ses-01_dwi.nii.gz,tb571,81.52,Thu Mar 19 14:44:34 2020
1065,sub-1065_ses-01_dwi.nii.gz,tb571,61.87,Thu Mar 19 14:44:40 2020
1066,sub-1066_ses-01_dwi.nii.gz,tb571,79.94,Thu Mar 19 14:44:46 2020
1067,sub-1067_ses-01_dwi.nii.gz,tb571,80.65,Thu Mar 19 14:44:55 2020
1068,sub-1068_ses-01_dwi.nii.gz,tb571,80.68,Thu Mar 19 14:45:00 2020
1069,sub-1069_ses-01_dwi.nii.gz,tb571,82.05,Thu Mar 19 14:45:04 2020
1070,sub-1070_ses-01_dwi.nii.gz,tb571,85.53,Thu Mar 19 14:45:16 2020
1071,sub-1071_ses-01_dwi.nii.gz,tb571,78.92,Thu Mar 19 14:45:22 2020
1072,sub-1072_ses-01_dwi.nii.gz,tb571,83.11,Thu Mar 19 14:45:28 2020
1073,sub-1073_ses-01_dwi.nii.gz,tb571,76.62,Thu Mar 19 14:45:34 2020
3001,sub-3001_ses-01_dwi.nii.gz,tb571,82.43,Thu Mar 19 14:38:53 2020
3002,sub-3002_ses-01_dwi.nii.gz,tb571,78.88,Thu Mar 19 14:45:37 2020
3003,sub-3003_ses-01_dwi.nii.gz,tb571,81.2,Thu Mar 19 14:45:41 2020
3005,sub-3005_ses-01_dwi.nii.gz,tb571,77.83,Thu Mar 19 14:45:45 2020
3006,sub-3006_ses-01_dwi.nii.gz,tb571,77.34,Thu Mar 19 14:38:57 2020
3008,sub-3008_ses-01_dwi.nii.gz,tb571,84.77,Thu Mar 19 14:43:22 2020
3009,sub-3009_ses-01_dwi.nii.gz,tb571,82.72,Thu Mar 19 14:45:48 2020
3010,sub-3010_ses-01_dwi.nii.gz,tb571,77.99,Thu Mar 19 14:45:52 2020
3011,sub-3011_ses-01_dwi.nii.gz,tb571,80.53,Thu Mar 19 14:45:55 2020
3012,sub-3012_ses-01_dwi.nii.gz,tb571,78.84,Thu Mar 19 14:45:58 2020
3013,sub-3013_ses-01_dwi.nii.gz,tb571,80.38,Thu Mar 19 14:46:01 2020
3014,sub-3014_ses-01_dwi.nii.gz,tb571,81.34,Thu Mar 19 14:46:04 2020
3015,sub-3015_ses-01_dwi.nii.gz,tb571,79.36,Thu Mar 19 14:46:07 2020
3016,sub-3016_ses-01_dwi.nii.gz,tb571,81.93,Thu Mar 19 14:46:10 2020
3017,sub-3017_ses-01_dwi.nii.gz,tb571,81.27,Thu Mar 19 14:46:13 2020
3018,sub-3018_ses-01_dwi.nii.gz,-,-,-
3019,sub-3019_ses-01_dwi.nii.gz,-,-,-
3020,sub-3020_ses-01_dwi.nii.gz,-,-,-
3021,sub-3021_ses-01_dwi.nii.gz,tb571,79.46,Thu Mar 19 14:46:27 2020
3023,sub-3023_ses-01_dwi.nii.gz,-,-,-
3024,sub-3024_ses-01_dwi.nii.gz,tb571,81.48,Thu Mar 19 14:46:32 2020
3025,sub-3025_ses-01_dwi.nii.gz,tb571,81.44,Thu Mar 19 14:46:37 2020
3026,sub-3026_ses-01_dwi.nii.gz,tb571,81.59,Thu Mar 19 14:39:01 2020
3027,sub-3027_ses-01_dwi.nii.gz,tb571,82.3,Thu Mar 19 14:46:42 2020
